Plate Height Test:,PlateHeightTest20161104111220
Time:,2016-11-04 11:12:20.357776795 +0000 GMT
antha-lang/antha commitID:,

TestName,Plate,Liquid name,Liquid type ,Liquid Volume,Well ,Aspirate mm from Bottom of well? ,Dispense mm from Bottom of well? ,Acceptable? ," Comments",plate Z start,Plate Height
PlateHeightTest20161104111220,pcrplate_skirted_riser40_Platenumber_1,Evian,water,5.000 ul,A1,"  ","  "," "," ",38.5,25.7
PlateHeightTest20161104111220,pcrplate_skirted_riser40_Platenumber_1,Evian,dna_mix,5.000 ul,B1,"  ","  "," "," ",38.5,25.7
PlateHeightTest20161104111220,pcrplate_skirted_riser40_Platenumber_1,Evian,water,100.000ul,C1,"  ","  "," "," ",38.5,25.7
PlateHeightTest20161104111220,pcrplate_skirted_riser40_Platenumber_1,Evian,dna_mix,100.000ul,D1,"  ","  "," "," ",38.5,25.7
PlateHeightTest20161104111220,pcrplate_with_cooler_Platenumber_1,Evian,water,5.000 ul,A1,"  ","  "," "," ",16.5,25.7
PlateHeightTest20161104111220,pcrplate_with_cooler_Platenumber_1,Evian,dna_mix,5.000 ul,B1,"  ","  "," "," ",16.5,25.7
PlateHeightTest20161104111220,pcrplate_with_cooler_Platenumber_1,Evian,water,100.000ul,C1,"  ","  "," "," ",16.5,25.7
PlateHeightTest20161104111220,pcrplate_with_cooler_Platenumber_1,Evian,dna_mix,100.000ul,D1,"  ","  "," "," ",16.5,25.7
PlateHeightTest20161104111220,greiner384_riser40_Platenumber_1,Evian,water,5.000 ul,A1,"  ","  "," "," ",40.5,14
PlateHeightTest20161104111220,greiner384_riser40_Platenumber_1,Evian,dna_mix,5.000 ul,B1,"  ","  "," "," ",40.5,14
PlateHeightTest20161104111220,greiner384_riser40_Platenumber_1,Evian,water,100.000ul,C1,"  ","  "," "," ",40.5,14
PlateHeightTest20161104111220,greiner384_riser40_Platenumber_1,Evian,dna_mix,100.000ul,D1,"  ","  "," "," ",40.5,14
