Plate Height Test:,PlateHeightTest20161104120646
Time:,2016-11-04 12:06:46.760070663 +0000 GMT
antha-lang/antha commitID:,

TestName,Plate,Liquid name,Liquid type ,Liquid Volume,Well ,Aspirate mm from Bottom of well? ,Dispense mm from Bottom of well? ,Acceptable? ," Comments",plate Z start,Plate Height,lhpolicy aspirate z offset,lhpolicy dispense z offset
PlateHeightTest20161104120646,pcrplate_skirted_riser40_Platenumber_1,Evian,water,5.000 ul,A1,"  ","  "," "," ",38.5,25.7,<nil>,1
PlateHeightTest20161104120646,pcrplate_skirted_riser40_Platenumber_1,Evian,dna_mix,5.000 ul,B1,"  ","  "," "," ",38.5,25.7,<nil>,0.5
PlateHeightTest20161104120646,pcrplate_skirted_riser40_Platenumber_1,Evian,water,100.000ul,C1,"  ","  "," "," ",38.5,25.7,<nil>,1
PlateHeightTest20161104120646,pcrplate_skirted_riser40_Platenumber_1,Evian,dna_mix,100.000ul,D1,"  ","  "," "," ",38.5,25.7,<nil>,0.5
PlateHeightTest20161104120646,pcrplate_with_cooler_Platenumber_1,Evian,water,5.000 ul,A1,"  ","  "," "," ",16.5,25.7,<nil>,1
PlateHeightTest20161104120646,pcrplate_with_cooler_Platenumber_1,Evian,dna_mix,5.000 ul,B1,"  ","  "," "," ",16.5,25.7,<nil>,0.5
PlateHeightTest20161104120646,pcrplate_with_cooler_Platenumber_1,Evian,water,100.000ul,C1,"  ","  "," "," ",16.5,25.7,<nil>,1
PlateHeightTest20161104120646,pcrplate_with_cooler_Platenumber_1,Evian,dna_mix,100.000ul,D1,"  ","  "," "," ",16.5,25.7,<nil>,0.5
PlateHeightTest20161104120646,Nuncon12wellAgar_incubator_Platenumber_1,Evian,water,5.000 ul,A1,"  ","  "," "," ",52.5,22,<nil>,1
PlateHeightTest20161104120646,Nuncon12wellAgar_incubator_Platenumber_1,Evian,dna_mix,5.000 ul,B1,"  ","  "," "," ",52.5,22,<nil>,0.5
PlateHeightTest20161104120646,Nuncon12wellAgar_incubator_Platenumber_1,Evian,water,100.000ul,C1,"  ","  "," "," ",52.5,22,<nil>,1
PlateHeightTest20161104120646,Nuncon12wellAgar_incubator_Platenumber_1,Evian,dna_mix,100.000ul,A2,"  ","  "," "," ",52.5,22,<nil>,0.5
PlateHeightTest20161104120646,falcon6wellAgar_Platenumber_1,Evian,water,5.000 ul,A1,"  ","  "," "," ",9,20,<nil>,1
PlateHeightTest20161104120646,falcon6wellAgar_Platenumber_1,Evian,dna_mix,5.000 ul,B1,"  ","  "," "," ",9,20,<nil>,0.5
PlateHeightTest20161104120646,falcon6wellAgar_Platenumber_1,Evian,water,100.000ul,A2,"  ","  "," "," ",9,20,<nil>,1
PlateHeightTest20161104120646,falcon6wellAgar_Platenumber_1,Evian,dna_mix,100.000ul,B2,"  ","  "," "," ",9,20,<nil>,0.5
