Plate Height Test:,PlateHeightTest20161130102134
Time:,2016-11-30 10:21:34.722186812 +0000 GMT
antha-lang/antha commitID:,ba786daa81fc840a0e742682599cff878637e8cb

TestName,Plate,Liquid name,Liquid type ,Liquid Volume,Well ,Aspirate mm from Bottom of well? ,Dispense mm from Bottom of well? ,Acceptable? ," Comments",plate Z start,Plate Height,lhpolicy aspirate z offset,lhpolicy dispense z offset
PlateHeightTest20161130102134,pcrplate_skirted_riser20_Platenumber_1,,water,5.000 ul,A1,"  ","  "," "," ",18.5,15.5,<nil>,1
PlateHeightTest20161130102134,pcrplate_skirted_riser20_Platenumber_1,,dna_mix,5.000 ul,B1,"  ","  "," "," ",18.5,15.5,<nil>,0.5
PlateHeightTest20161130102134,pcrplate_skirted_riser20_Platenumber_1,,PEG,5.000 ul,C1,"  ","  "," "," ",18.5,15.5,2.5,2.5
PlateHeightTest20161130102134,pcrplate_skirted_riser20_Platenumber_1,,dna,5.000 ul,D1,"  ","  "," "," ",18.5,15.5,<nil>,0.5
PlateHeightTest20161130102134,pcrplate_skirted_riser20_Platenumber_1,,PostMix,5.000 ul,E1,"  ","  "," "," ",18.5,15.5,<nil>,0.5
PlateHeightTest20161130102134,pcrplate_skirted_riser20_Platenumber_1,,water,100.000ul,F1,"  ","  "," "," ",18.5,15.5,<nil>,1
PlateHeightTest20161130102134,pcrplate_skirted_riser20_Platenumber_1,,dna_mix,100.000ul,G1,"  ","  "," "," ",18.5,15.5,<nil>,0.5
PlateHeightTest20161130102134,pcrplate_skirted_riser20_Platenumber_1,,PEG,100.000ul,H1,"  ","  "," "," ",18.5,15.5,2.5,2.5
PlateHeightTest20161130102134,pcrplate_skirted_riser20_Platenumber_1,,dna,100.000ul,A2,"  ","  "," "," ",18.5,15.5,<nil>,0.5
PlateHeightTest20161130102134,pcrplate_skirted_riser20_Platenumber_1,,PostMix,100.000ul,B2,"  ","  "," "," ",18.5,15.5,<nil>,0.5
PlateHeightTest20161130102134,falcon6wellAgar_Platenumber_1,,water,5.000 ul,A1,"  ","  "," "," ",9,20,<nil>,1
PlateHeightTest20161130102134,falcon6wellAgar_Platenumber_1,,dna_mix,5.000 ul,B1,"  ","  "," "," ",9,20,<nil>,0.5
PlateHeightTest20161130102134,falcon6wellAgar_Platenumber_1,,PEG,5.000 ul,A2,"  ","  "," "," ",9,20,2.5,2.5
PlateHeightTest20161130102134,falcon6wellAgar_Platenumber_1,,dna,5.000 ul,B2,"  ","  "," "," ",9,20,<nil>,0.5
PlateHeightTest20161130102134,falcon6wellAgar_Platenumber_1,,PostMix,5.000 ul,A3,"  ","  "," "," ",9,20,<nil>,0.5
PlateHeightTest20161130102134,falcon6wellAgar_Platenumber_1,,water,100.000ul,B3,"  ","  "," "," ",9,20,<nil>,1
PlateHeightTest20161130102134,falcon6wellAgar_Platenumber_2,,dna_mix,100.000ul,A1,"  ","  "," "," ",9,20,<nil>,0.5
PlateHeightTest20161130102134,falcon6wellAgar_Platenumber_2,,PEG,100.000ul,B1,"  ","  "," "," ",9,20,2.5,2.5
PlateHeightTest20161130102134,falcon6wellAgar_Platenumber_2,,dna,100.000ul,A2,"  ","  "," "," ",9,20,<nil>,0.5
PlateHeightTest20161130102134,falcon6wellAgar_Platenumber_2,,PostMix,100.000ul,B2,"  ","  "," "," ",9,20,<nil>,0.5
PlateHeightTest20161130102134,Nuncon12wellAgar_incubator_Platenumber_1,,water,5.000 ul,A1,"  ","  "," "," ",64.92,22,<nil>,1
PlateHeightTest20161130102134,Nuncon12wellAgar_incubator_Platenumber_1,,dna_mix,5.000 ul,B1,"  ","  "," "," ",64.92,22,<nil>,0.5
PlateHeightTest20161130102134,Nuncon12wellAgar_incubator_Platenumber_1,,PEG,5.000 ul,C1,"  ","  "," "," ",64.92,22,2.5,2.5
PlateHeightTest20161130102134,Nuncon12wellAgar_incubator_Platenumber_1,,dna,5.000 ul,A2,"  ","  "," "," ",64.92,22,<nil>,0.5
PlateHeightTest20161130102134,Nuncon12wellAgar_incubator_Platenumber_1,,PostMix,5.000 ul,B2,"  ","  "," "," ",64.92,22,<nil>,0.5
PlateHeightTest20161130102134,Nuncon12wellAgar_incubator_Platenumber_1,,water,100.000ul,C2,"  ","  "," "," ",64.92,22,<nil>,1
PlateHeightTest20161130102134,Nuncon12wellAgar_incubator_Platenumber_1,,dna_mix,100.000ul,A3,"  ","  "," "," ",64.92,22,<nil>,0.5
PlateHeightTest20161130102134,Nuncon12wellAgar_incubator_Platenumber_1,,PEG,100.000ul,B3,"  ","  "," "," ",64.92,22,2.5,2.5
PlateHeightTest20161130102134,Nuncon12wellAgar_incubator_Platenumber_1,,dna,100.000ul,C3,"  ","  "," "," ",64.92,22,<nil>,0.5
PlateHeightTest20161130102134,Nuncon12wellAgar_incubator_Platenumber_1,,PostMix,100.000ul,A4,"  ","  "," "," ",64.92,22,<nil>,0.5
