Plate Height Test:,PlateHeightTest:20161104110030
Time:,2016-11-04 11:00:30.972427474 +0000 GMT
antha-lang/antha commitID:,

TestName,Plate,Liquid name,Liquid type ,Liquid Volume,Well ,mm from Bottom of well? ,Acceptable? 
PlateHeightTest:20161104110030,pcrplate_skirted_riser40_Platenumber_1,Evian,water,5.000 ul,A1,"  ","  "
PlateHeightTest:20161104110030,pcrplate_skirted_riser40_Platenumber_1,Evian,dna_mix,5.000 ul,B1,"  ","  "
PlateHeightTest:20161104110030,pcrplate_skirted_riser40_Platenumber_1,Evian,water,100.000ul,C1,"  ","  "
PlateHeightTest:20161104110030,pcrplate_skirted_riser40_Platenumber_1,Evian,dna_mix,100.000ul,D1,"  ","  "
PlateHeightTest:20161104110030,pcrplate_with_cooler_Platenumber_1,Evian,water,5.000 ul,A1,"  ","  "
PlateHeightTest:20161104110030,pcrplate_with_cooler_Platenumber_1,Evian,dna_mix,5.000 ul,B1,"  ","  "
PlateHeightTest:20161104110030,pcrplate_with_cooler_Platenumber_1,Evian,water,100.000ul,C1,"  ","  "
PlateHeightTest:20161104110030,pcrplate_with_cooler_Platenumber_1,Evian,dna_mix,100.000ul,D1,"  ","  "
PlateHeightTest:20161104110030,greiner384_riser40_Platenumber_1,Evian,water,5.000 ul,A1,"  ","  "
PlateHeightTest:20161104110030,greiner384_riser40_Platenumber_1,Evian,dna_mix,5.000 ul,B1,"  ","  "
PlateHeightTest:20161104110030,greiner384_riser40_Platenumber_1,Evian,water,100.000ul,C1,"  ","  "
PlateHeightTest:20161104110030,greiner384_riser40_Platenumber_1,Evian,dna_mix,100.000ul,D1,"  ","  "
