Plate Height Test:,ddeploy220161129171600
Time:,2016-11-29 17:16:00.412218793 +0000 GMT
antha-lang/antha commitID:,dbdcc138ba64e7ccabfcd85dd57c4f60baa39cc8

TestName,Plate,Liquid name,Liquid type ,Liquid Volume,Well ,Aspirate mm from Bottom of well? ,Dispense mm from Bottom of well? ,Acceptable? ," Comments",plate Z start,Plate Height,lhpolicy aspirate z offset,lhpolicy dispense z offset
ddeploy220161129171600,pcrplate_skirted_riser20_Platenumber_1,tartrazine,NeedToMix,19.000ul,A1,"  ","  "," "," ",20.636,15.5,<nil>,0.5
ddeploy220161129171600,pcrplate_skirted_riser20_Platenumber_1,tartrazine,DispenseAboveLiquid,19.000ul,B1,"  ","  "," "," ",20.636,15.5,<nil>,<nil>
ddeploy220161129171600,pcrplate_skirted_riser20_Platenumber_1,tartrazine,NeedToMix,100.000ul,C1,"  ","  "," "," ",20.636,15.5,<nil>,0.5
ddeploy220161129171600,pcrplate_skirted_riser20_Platenumber_1,tartrazine,DispenseAboveLiquid,100.000ul,D1,"  ","  "," "," ",20.636,15.5,<nil>,<nil>
ddeploy220161129171600,greiner384_riser20_Platenumber_1,tartrazine,NeedToMix,19.000ul,A1,"  ","  "," "," ",22.5,14,<nil>,0.5
ddeploy220161129171600,greiner384_riser20_Platenumber_1,tartrazine,DispenseAboveLiquid,19.000ul,B1,"  ","  "," "," ",22.5,14,<nil>,<nil>
ddeploy220161129171600,greiner384_riser20_Platenumber_1,tartrazine,NeedToMix,100.000ul,C1,"  ","  "," "," ",22.5,14,<nil>,0.5
ddeploy220161129171600,greiner384_riser20_Platenumber_1,tartrazine,DispenseAboveLiquid,100.000ul,D1,"  ","  "," "," ",22.5,14,<nil>,<nil>
ddeploy220161129171600,DSW96_riser20_Platenumber_1,tartrazine,NeedToMix,19.000ul,A1,"  ","  "," "," ",24.5,44.1,<nil>,0.5
ddeploy220161129171600,DSW96_riser20_Platenumber_1,tartrazine,DispenseAboveLiquid,19.000ul,B1,"  ","  "," "," ",24.5,44.1,<nil>,<nil>
ddeploy220161129171600,DSW96_riser20_Platenumber_1,tartrazine,NeedToMix,100.000ul,C1,"  ","  "," "," ",24.5,44.1,<nil>,0.5
ddeploy220161129171600,DSW96_riser20_Platenumber_1,tartrazine,DispenseAboveLiquid,100.000ul,D1,"  ","  "," "," ",24.5,44.1,<nil>,<nil>
